Image_ID,Region_Index,BBox_X,BBox_Y,BBox_W,BBox_H,Region_Area_px,Region_Area_Ratio,Region_Mean_Saliency,Region_Max_Saliency,Region_Attention_Ratio,Quadrant,Center_X,Center_Y
663,0,30,670,110,21,2310,0.00446,0.0,0.0,0.0,Q3_BottomLeft,85.0,680.5
663,1,203,634,487,61,29707,0.05731,36.875,219.0,0.10922,Q4_BottomRight,446.5,664.5
663,2,0,592,153,62,9486,0.0183,0.0,0.0,0.0,Q3_BottomLeft,76.5,623.0
663,3,181,583,323,34,10982,0.02118,109.815,194.0,0.12024,Q3_BottomLeft,342.5,600.0
663,4,334,555,77,15,1155,0.00223,122.056,149.0,0.01406,Q4_BottomRight,372.5,562.5
663,5,517,436,177,49,8673,0.01673,76.175,157.0,0.06587,Q4_BottomRight,605.5,460.5
663,6,623,411,17,6,102,0.0002,10.755,18.0,0.00011,Q4_BottomRight,631.5,414.0
663,7,355,375,39,10,390,0.00075,161.562,199.0,0.00628,Q4_BottomRight,374.5,380.0
663,8,317,344,98,28,2744,0.00529,122.822,200.0,0.0336,Q2_TopRight,366.0,358.0
663,9,24,343,41,115,4715,0.0091,13.638,101.0,0.00641,Q3_BottomLeft,44.5,400.5
663,10,335,328,72,16,1152,0.00222,141.334,179.0,0.01623,Q2_TopRight,371.0,336.0
663,11,339,284,55,34,1870,0.00361,107.342,166.0,0.02001,Q2_TopRight,366.5,301.0
663,12,529,251,124,40,4960,0.00957,0.0,0.0,0.0,Q2_TopRight,591.0,271.0
663,13,24,211,40,115,4600,0.00887,44.532,151.0,0.02042,Q1_TopLeft,44.0,268.5
663,14,525,209,129,38,4902,0.00946,0.0,0.0,0.0,Q2_TopRight,589.5,228.0
663,15,238,83,162,21,3402,0.00656,53.382,136.0,0.01811,Q1_TopLeft,319.0,93.5
663,16,403,79,86,25,2150,0.00415,0.0,0.0,0.0,Q2_TopRight,446.0,91.5
663,17,379,30,166,41,6806,0.01313,0.181,6.0,0.00012,Q2_TopRight,462.0,50.5
663,18,165,27,209,45,9405,0.01814,82.25,177.0,0.07712,Q1_TopLeft,269.5,49.5
36,0,381,573,34,73,2482,0.00479,31.085,118.0,0.0094,Q4_BottomRight,398.0,609.5
36,1,464,506,26,114,2964,0.00572,77.128,167.0,0.02786,Q4_BottomRight,477.0,563.0
903,0,0,683,129,19,2451,0.00473,24.274,105.0,0.00647,Q3_BottomLeft,64.5,692.5
903,1,591,677,24,15,360,0.00069,0.0,0.0,0.0,Q4_BottomRight,603.0,684.5
903,2,139,666,88,38,3344,0.00645,83.698,146.0,0.03046,Q3_BottomLeft,183.0,685.0
903,3,505,663,61,37,2257,0.00435,0.0,0.0,0.0,Q4_BottomRight,535.5,681.5
903,4,381,663,62,37,2294,0.00443,0.939,17.0,0.00023,Q4_BottomRight,412.0,681.5
903,5,255,663,87,37,3219,0.00621,44.268,110.0,0.01551,Q3_BottomLeft,298.5,681.5
903,6,616,658,99,43,4257,0.00821,0.0,0.0,0.0,Q4_BottomRight,665.5,679.5
903,7,7,656,108,25,2700,0.00521,5.568,38.0,0.00164,Q3_BottomLeft,61.0,668.5
903,8,143,641,63,21,1323,0.00255,82.585,128.0,0.01189,Q3_BottomLeft,174.5,651.5
903,9,491,636,67,22,1474,0.00284,0.0,0.0,0.0,Q4_BottomRight,524.5,647.0
903,10,337,634,122,21,2562,0.00494,29.288,92.0,0.00817,Q4_BottomRight,398.0,644.5
903,11,252,634,47,21,987,0.0019,83.699,113.0,0.00899,Q3_BottomLeft,275.5,644.5
903,12,624,633,66,21,1386,0.00267,0.0,0.0,0.0,Q4_BottomRight,657.0,643.5
903,13,459,468,18,6,108,0.00021,92.861,112.0,0.00109,Q4_BottomRight,468.0,471.0
903,14,502,435,68,35,2380,0.00459,10.437,67.0,0.0027,Q4_BottomRight,536.0,452.5
903,15,595,281,100,43,4300,0.00829,145.236,203.0,0.06796,Q2_TopRight,645.0,302.5
903,16,604,246,61,28,1708,0.00329,175.214,196.0,0.03257,Q2_TopRight,634.5,260.0
903,17,585,211,100,25,2500,0.00482,137.509,196.0,0.03741,Q2_TopRight,635.0,223.5
903,18,35,116,112,39,4368,0.00843,27.053,68.0,0.01286,Q1_TopLeft,91.0,135.5
690,0,61,628,378,67,25326,0.04885,32.925,140.0,0.06322,Q3_BottomLeft,250.0,661.5
690,1,513,588,191,89,16999,0.03279,48.305,158.0,0.06226,Q4_BottomRight,608.5,632.5
690,2,68,575,320,39,12480,0.02407,35.487,146.0,0.03358,Q3_BottomLeft,228.0,594.5
690,3,497,573,22,13,286,0.00055,0.007,1.0,0.0,Q4_BottomRight,508.0,579.5
690,4,524,539,157,27,4239,0.00818,45.69,121.0,0.01468,Q4_BottomRight,602.5,552.5
690,5,502,494,59,12,708,0.00137,0.722,7.0,4e-05,Q4_BottomRight,531.5,500.0
690,6,266,227,36,44,1584,0.00306,32.313,89.0,0.00388,Q1_TopLeft,284.0,249.0
690,7,400,170,165,189,31185,0.06016,92.481,195.0,0.21866,Q2_TopRight,482.5,264.5
690,8,48,112,102,13,1326,0.00256,108.34,141.0,0.01089,Q1_TopLeft,99.0,118.5
690,9,412,111,69,19,1311,0.00253,0.0,0.0,0.0,Q2_TopRight,446.5,120.5
690,10,21,61,160,38,6080,0.01173,56.639,145.0,0.02611,Q1_TopLeft,101.0,80.0
690,11,226,21,178,44,7832,0.01511,57.231,107.0,0.03398,Q1_TopLeft,315.0,43.0
17,0,1,641,288,72,20736,0.04,53.867,164.0,0.08351,Q3_BottomLeft,145.0,677.0
17,1,290,639,419,74,31006,0.05981,47.585,190.0,0.11032,Q4_BottomRight,499.5,676.0
17,2,194,563,330,77,25410,0.04902,66.213,203.0,0.1258,Q3_BottomLeft,359.0,601.5
661,0,205,643,507,59,29913,0.0577,53.573,163.0,0.13355,Q4_BottomRight,458.5,672.5
661,1,39,625,131,68,8908,0.01718,30.509,86.0,0.02265,Q3_BottomLeft,104.5,659.0
661,2,147,618,35,21,735,0.00142,16.786,45.0,0.00103,Q3_BottomLeft,164.5,628.5
661,3,35,579,132,26,3432,0.00662,7.122,38.0,0.00204,Q3_BottomLeft,101.0,592.0
661,4,242,573,263,44,11572,0.02232,80.784,184.0,0.0779,Q4_BottomRight,373.5,595.0
661,5,595,498,48,15,720,0.00139,108.019,145.0,0.00648,Q4_BottomRight,619.0,505.5
661,6,464,489,109,24,2616,0.00505,0.37,7.0,8e-05,Q4_BottomRight,518.5,501.0
661,7,654,475,45,20,900,0.00174,18.946,73.0,0.00142,Q4_BottomRight,676.5,485.0
661,8,592,474,48,20,960,0.00185,67.498,119.0,0.0054,Q4_BottomRight,616.0,484.0
661,9,644,423,53,44,2332,0.0045,2.806,32.0,0.00055,Q4_BottomRight,670.5,445.0
661,10,275,295,71,24,1704,0.00329,60.266,139.0,0.00856,Q1_TopLeft,310.5,307.0
661,11,368,293,17,7,119,0.00023,59.756,87.0,0.00059,Q2_TopRight,376.5,296.5
661,12,387,270,24,19,456,0.00088,10.68,28.0,0.00041,Q2_TopRight,399.0,279.5
661,13,275,258,75,41,3075,0.00593,62.48,138.0,0.01601,Q1_TopLeft,312.5,278.5
661,14,558,229,51,50,2550,0.00492,30.076,113.0,0.00639,Q2_TopRight,583.5,254.0
661,15,468,218,78,111,8658,0.0167,139.891,210.0,0.10093,Q2_TopRight,507.0,273.5
661,16,176,41,29,17,493,0.00095,2.611,10.0,0.00011,Q1_TopLeft,190.5,49.5
661,17,209,21,280,65,18200,0.03511,94.134,210.0,0.14277,Q1_TopLeft,349.0,53.5
905,0,237,379,23,19,437,0.00084,195.643,210.0,0.00638,Q3_BottomLeft,248.5,388.5
905,1,423,357,78,115,8970,0.0173,151.819,197.0,0.10163,Q4_BottomRight,462.0,414.5
905,2,379,184,63,41,2583,0.00498,179.599,205.0,0.03462,Q2_TopRight,410.5,204.5
905,3,162,49,57,39,2223,0.00429,0.0,0.0,0.0,Q1_TopLeft,190.5,68.5
86,0,21,634,668,74,49432,0.09535,15.033,143.0,0.08072,Q3_BottomLeft,355.0,671.0
86,1,169,597,67,15,1005,0.00194,42.861,109.0,0.00468,Q3_BottomLeft,202.5,604.5
86,2,176,589,17,6,102,0.0002,91.667,107.0,0.00102,Q3_BottomLeft,184.5,592.0
86,3,542,580,30,8,240,0.00046,0.0,0.0,0.0,Q4_BottomRight,557.0,584.0
86,4,150,574,102,23,2346,0.00453,56.444,112.0,0.01438,Q3_BottomLeft,201.0,585.5
86,5,504,563,70,15,1050,0.00203,0.0,0.0,0.0,Q4_BottomRight,539.0,570.5
86,6,58,519,26,35,910,0.00176,0.0,0.0,0.0,Q3_BottomLeft,71.0,536.5
86,7,167,499,87,24,2088,0.00403,0.59,5.0,0.00013,Q3_BottomLeft,210.5,511.0
86,8,61,465,19,51,969,0.00187,0.0,0.0,0.0,Q3_BottomLeft,70.5,490.5
86,9,563,462,143,17,2431,0.00469,0.0,0.0,0.0,Q4_BottomRight,634.5,470.5
86,10,318,436,104,22,2288,0.00441,60.557,133.0,0.01505,Q4_BottomRight,370.0,447.0
86,11,425,407,38,23,874,0.00169,3.602,15.0,0.00034,Q4_BottomRight,444.0,418.5
86,12,493,400,86,25,2150,0.00415,41.048,102.0,0.00959,Q4_BottomRight,536.0,412.5
86,13,323,368,91,28,2548,0.00492,131.513,188.0,0.0364,Q4_BottomRight,368.5,382.0
86,14,242,368,68,24,1632,0.00315,5.862,37.0,0.00104,Q3_BottomLeft,276.0,380.0
86,15,500,366,71,33,2343,0.00452,72.22,123.0,0.01838,Q4_BottomRight,535.5,382.5
86,16,60,362,22,102,2244,0.00433,0.0,0.0,0.0,Q3_BottomLeft,71.0,413.0
86,17,408,317,56,35,1960,0.00378,4.783,40.0,0.00102,Q2_TopRight,436.0,334.5
86,18,242,279,88,24,2112,0.00407,0.734,12.0,0.00017,Q1_TopLeft,286.0,291.0
86,19,111,276,130,26,3380,0.00652,42.744,129.0,0.01569,Q1_TopLeft,176.0,289.0
86,20,133,178,106,37,3922,0.00757,36.938,119.0,0.01574,Q1_TopLeft,186.0,196.5
86,21,502,138,171,172,29412,0.05674,63.751,209.0,0.20368,Q2_TopRight,587.5,224.0
86,22,516,91,149,37,5513,0.01063,78.941,177.0,0.04727,Q2_TopRight,590.5,109.5
86,23,372,10,184,48,8832,0.01704,1.489,23.0,0.00143,Q2_TopRight,464.0,34.0
86,24,203,9,150,54,8100,0.01562,81.576,167.0,0.07178,Q1_TopLeft,278.0,36.0
933,0,238,646,371,48,17808,0.03435,40.244,127.0,0.08357,Q4_BottomRight,423.5,670.0
933,1,620,645,68,51,3468,0.00669,4.256,38.0,0.00172,Q4_BottomRight,654.0,670.5
933,2,34,641,180,70,12600,0.02431,0.0,0.0,0.0,Q3_BottomLeft,124.0,676.0
933,3,12,586,124,41,5084,0.00981,0.0,0.0,0.0,Q3_BottomLeft,74.0,606.5
933,4,569,518,50,37,1850,0.00357,0.079,2.0,2e-05,Q4_BottomRight,594.0,536.5
933,5,385,428,26,10,260,0.0005,9.812,16.0,0.0003,Q4_BottomRight,398.0,433.0
933,6,50,126,80,12,960,0.00185,117.643,164.0,0.01317,Q1_TopLeft,90.0,132.0
933,7,21,101,139,24,3336,0.00644,91.248,175.0,0.03549,Q1_TopLeft,90.5,113.0
933,8,391,67,147,73,10731,0.0207,48.531,160.0,0.06073,Q2_TopRight,464.5,103.5
933,9,577,9,141,36,5076,0.00979,0.0,0.0,0.0,Q2_TopRight,647.5,27.0
600,0,339,197,27,141,3807,0.00734,184.544,208.0,0.06194,Q1_TopLeft,352.5,267.5
600,1,9,12,164,68,11152,0.02151,107.615,203.0,0.1058,Q1_TopLeft,91.0,46.0
80,0,264,661,446,49,21854,0.04216,15.074,133.0,0.03183,Q4_BottomRight,487.0,685.5
80,1,6,653,216,39,8424,0.01625,82.789,191.0,0.06738,Q3_BottomLeft,114.0,672.5
80,2,262,612,353,40,14120,0.02724,72.389,171.0,0.09875,Q4_BottomRight,438.5,632.0
80,3,3,590,193,50,9650,0.01861,51.68,165.0,0.04818,Q3_BottomLeft,99.5,615.0
80,4,303,570,99,31,3069,0.00592,97.967,158.0,0.02905,Q3_BottomLeft,352.5,585.5
80,5,441,496,42,12,504,0.00097,0.0,0.0,0.0,Q4_BottomRight,462.0,502.0
80,6,432,481,52,14,728,0.0014,0.0,0.0,0.0,Q4_BottomRight,458.0,488.0
80,7,421,464,64,11,704,0.00136,0.0,0.0,0.0,Q4_BottomRight,453.0,469.5
80,8,328,438,61,11,671,0.00129,0.729,4.0,5e-05,Q3_BottomLeft,358.5,443.5
80,9,214,432,85,15,1275,0.00246,0.0,0.0,0.0,Q3_BottomLeft,256.5,439.5
80,10,214,416,81,16,1296,0.0025,0.234,2.0,3e-05,Q3_BottomLeft,254.5,424.0
80,11,214,398,73,14,1022,0.00197,3.871,16.0,0.00038,Q3_BottomLeft,250.5,405.0
80,12,427,358,65,26,1690,0.00326,11.558,50.0,0.00189,Q4_BottomRight,459.5,371.0
80,13,329,327,74,28,2072,0.004,138.092,173.0,0.02764,Q2_TopRight,366.0,341.0
80,14,463,269,64,24,1536,0.00296,17.393,69.0,0.00258,Q2_TopRight,495.0,281.0
80,15,218,268,84,32,2688,0.00519,111.332,163.0,0.02891,Q1_TopLeft,260.0,284.0
80,16,459,254,72,14,1008,0.00194,3.466,16.0,0.00034,Q2_TopRight,495.0,261.0
80,17,464,230,62,23,1426,0.00275,0.196,3.0,3e-05,Q2_TopRight,495.0,241.5
80,18,484,194,60,22,1320,0.00255,0.0,0.0,0.0,Q2_TopRight,514.0,205.0
80,19,317,194,84,22,1848,0.00356,118.848,193.0,0.02122,Q1_TopLeft,359.0,205.0
80,20,150,194,94,22,2068,0.00399,11.509,78.0,0.0023,Q1_TopLeft,197.0,205.0
80,21,267,151,160,21,3360,0.00648,89.079,192.0,0.02892,Q1_TopLeft,347.0,161.5
80,22,0,16,229,43,9847,0.01899,14.681,90.0,0.01397,Q1_TopLeft,114.5,37.5
695,0,260,624,217,56,12152,0.02344,54.777,156.0,0.07102,Q4_BottomRight,368.5,652.0
695,1,37,624,216,55,11880,0.02292,45.969,182.0,0.05826,Q3_BottomLeft,145.0,651.5
695,2,477,604,211,77,16247,0.03134,3.921,60.0,0.0068,Q4_BottomRight,582.5,642.5
695,3,68,550,344,61,20984,0.04048,31.694,185.0,0.07096,Q3_BottomLeft,240.0,580.5
695,4,482,535,186,32,5952,0.01148,13.492,73.0,0.00857,Q4_BottomRight,575.0,551.0
695,5,506,438,49,14,686,0.00132,46.341,70.0,0.00339,Q4_BottomRight,530.5,445.0
695,6,484,405,72,22,1584,0.00306,53.598,83.0,0.00906,Q4_BottomRight,520.0,416.0
695,7,483,381,95,21,1995,0.00385,19.143,51.0,0.00407,Q4_BottomRight,530.5,391.5
695,8,490,347,60,22,1320,0.00255,20.508,30.0,0.00289,Q2_TopRight,520.0,358.0
695,9,167,336,75,40,3000,0.00579,74.762,173.0,0.02393,Q1_TopLeft,204.5,356.0
695,10,167,276,120,41,4920,0.00949,162.079,212.0,0.08508,Q1_TopLeft,227.0,296.5
695,11,168,235,155,36,5580,0.01076,144.864,211.0,0.08624,Q1_TopLeft,245.5,253.0
695,12,194,175,79,38,3002,0.00579,57.811,126.0,0.01852,Q1_TopLeft,233.5,194.0
695,13,48,175,129,55,7095,0.01369,31.915,106.0,0.02416,Q1_TopLeft,112.5,202.5
695,14,529,172,143,37,5291,0.01021,93.026,201.0,0.05251,Q2_TopRight,600.5,190.5
695,15,399,148,122,30,3660,0.00706,0.21,6.0,8e-05,Q2_TopRight,460.0,163.0
695,16,535,120,120,51,6120,0.01181,66.165,193.0,0.0432,Q2_TopRight,595.0,145.5
695,17,51,116,108,57,6156,0.01188,26.66,103.0,0.01751,Q1_TopLeft,105.0,144.5
695,18,209,46,109,25,2725,0.00526,71.07,110.0,0.02066,Q1_TopLeft,263.5,58.5
695,19,348,17,184,48,8832,0.01704,19.287,76.0,0.01817,Q2_TopRight,440.0,41.0
695,20,176,14,140,29,4060,0.00783,73.189,112.0,0.0317,Q1_TopLeft,246.0,28.5
922,0,323,669,284,38,10792,0.02082,18.666,107.0,0.02257,Q4_BottomRight,465.0,688.0
922,1,2,647,120,57,6840,0.01319,13.594,88.0,0.01042,Q3_BottomLeft,62.0,675.5
922,2,282,615,384,50,19200,0.03704,14.009,99.0,0.03013,Q4_BottomRight,474.0,640.0
922,3,3,602,135,29,3915,0.00755,45.233,114.0,0.01984,Q3_BottomLeft,70.5,616.5
922,4,341,450,66,39,2574,0.00497,0.078,4.0,2e-05,Q4_BottomRight,374.0,469.5
922,5,382,299,106,96,10176,0.01963,127.958,216.0,0.14587,Q2_TopRight,435.0,347.0
922,6,204,291,38,26,988,0.00191,18.741,52.0,0.00207,Q1_TopLeft,223.0,304.0
922,7,220,221,65,63,4095,0.0079,112.716,161.0,0.05171,Q1_TopLeft,252.5,252.5
922,8,111,192,61,21,1281,0.00247,177.436,189.0,0.02546,Q1_TopLeft,141.5,202.5
922,9,203,154,64,37,2368,0.00457,89.0,164.0,0.02361,Q1_TopLeft,235.0,172.5
922,10,18,149,159,41,6519,0.01258,111.715,188.0,0.08158,Q1_TopLeft,97.5,169.5
922,11,513,17,190,40,7600,0.01466,0.0,0.0,0.0,Q2_TopRight,608.0,37.0
926,0,523,345,62,49,3038,0.00586,20.771,105.0,0.00564,Q4_BottomRight,554.0,369.5
926,1,292,296,57,91,5187,0.01001,162.077,196.0,0.07509,Q1_TopLeft,320.5,341.5
926,2,12,235,221,37,8177,0.01577,157.416,229.0,0.11497,Q1_TopLeft,122.5,253.5
926,3,537,57,170,31,5270,0.01017,4.864,39.0,0.00229,Q2_TopRight,622.0,72.5
926,4,593,35,59,22,1298,0.0025,0.056,2.0,1e-05,Q2_TopRight,622.5,46.0
841,0,410,144,263,39,10257,0.01979,128.969,232.0,0.13666,Q2_TopRight,541.5,163.5
841,1,260,36,428,90,38520,0.07431,109.04,240.0,0.43392,Q2_TopRight,474.0,81.0
841,2,30,13,142,47,6674,0.01287,83.862,163.0,0.05782,Q1_TopLeft,101.0,36.5
258,0,23,119,171,59,10089,0.01946,175.517,242.0,0.16681,Q1_TopLeft,108.5,148.5
258,1,69,79,93,47,4371,0.00843,161.025,230.0,0.0663,Q1_TopLeft,115.5,102.5
160,0,280,648,374,58,21692,0.04184,0.0,0.0,0.0,Q4_BottomRight,467.0,677.0
160,1,30,644,235,60,14100,0.0272,0.1,5.0,0.00013,Q3_BottomLeft,147.5,674.0
160,2,32,529,202,32,6464,0.01247,13.308,81.0,0.00794,Q3_BottomLeft,133.0,545.0
160,3,617,520,32,12,384,0.00074,73.557,113.0,0.00261,Q4_BottomRight,633.0,526.0
160,4,465,520,143,16,2288,0.00441,113.565,164.0,0.02398,Q4_BottomRight,536.5,528.0
160,5,508,466,169,36,6084,0.01174,127.396,208.0,0.07153,Q4_BottomRight,592.5,484.0
160,6,320,454,120,47,5640,0.01088,67.572,149.0,0.03517,Q4_BottomRight,380.0,477.5
160,7,412,429,21,7,147,0.00028,87.476,108.0,0.00119,Q4_BottomRight,422.5,432.5
160,8,424,407,75,16,1200,0.00231,66.681,103.0,0.00738,Q4_BottomRight,461.5,415.0
160,9,336,386,72,14,1008,0.00194,1.33,14.0,0.00012,Q4_BottomRight,372.0,393.0
160,10,412,383,97,22,2134,0.00412,49.657,96.0,0.00978,Q4_BottomRight,460.5,394.0
160,11,338,373,63,10,630,0.00122,0.095,2.0,1e-05,Q4_BottomRight,369.5,378.0
160,12,25,371,43,39,1677,0.00323,0.647,11.0,0.0001,Q3_BottomLeft,46.5,390.5
160,13,589,345,36,25,900,0.00174,6.466,33.0,0.00054,Q2_TopRight,607.0,357.5
160,14,611,327,23,11,253,0.00049,3.794,12.0,9e-05,Q2_TopRight,622.5,332.5
160,15,514,305,41,26,1066,0.00206,56.623,109.0,0.00557,Q2_TopRight,534.5,318.0
160,16,73,295,187,47,8789,0.01695,118.155,199.0,0.09584,Q1_TopLeft,166.5,318.5
160,17,516,266,45,25,1125,0.00217,39.754,93.0,0.00413,Q2_TopRight,538.5,278.5
160,18,610,244,37,59,2183,0.00421,1.591,15.0,0.00032,Q2_TopRight,628.5,273.5
160,19,19,242,309,35,10815,0.02086,91.945,183.0,0.09177,Q1_TopLeft,173.5,259.5
160,20,518,228,41,26,1066,0.00206,20.3,44.0,0.002,Q2_TopRight,538.5,241.0
160,21,21,145,308,76,23408,0.04515,58.786,186.0,0.127,Q1_TopLeft,175.0,183.0
160,22,18,63,308,73,22484,0.04337,36.743,126.0,0.07624,Q1_TopLeft,172.0,99.5
560,0,0,644,140,65,9100,0.01755,69.415,151.0,0.05612,Q3_BottomLeft,70.0,676.5
560,1,433,634,265,70,18550,0.03578,17.406,102.0,0.02868,Q4_BottomRight,565.5,669.0
560,2,157,631,264,74,19536,0.03769,46.268,117.0,0.0803,Q3_BottomLeft,289.0,668.0
560,3,0,569,139,68,9452,0.01823,23.623,123.0,0.01984,Q3_BottomLeft,69.5,603.0
560,4,322,239,61,35,2135,0.00412,138.246,189.0,0.02622,Q1_TopLeft,352.5,256.5
560,5,158,79,406,90,36540,0.07049,82.459,184.0,0.26767,Q2_TopRight,361.0,124.0
560,6,137,4,156,49,7644,0.01475,20.266,130.0,0.01376,Q1_TopLeft,215.0,28.5
560,7,294,3,291,51,14841,0.02863,10.052,131.0,0.01325,Q2_TopRight,439.5,28.5
863,0,9,649,432,51,22032,0.0425,117.77,225.0,0.19968,Q3_BottomLeft,225.0,674.5
863,1,13,608,539,40,21560,0.04159,87.662,222.0,0.14545,Q3_BottomLeft,282.5,628.0
863,2,181,502,214,13,2782,0.00537,27.732,132.0,0.00594,Q3_BottomLeft,288.0,508.5
863,3,243,474,43,20,860,0.00166,0.521,6.0,3e-05,Q3_BottomLeft,264.5,484.0
863,4,327,415,140,33,4620,0.00891,136.161,206.0,0.04841,Q4_BottomRight,397.0,431.5
863,5,398,283,126,28,3528,0.00681,177.293,226.0,0.04814,Q2_TopRight,461.0,297.0
863,6,199,267,313,146,45698,0.08815,90.101,226.0,0.31687,Q1_TopLeft,355.5,340.0
863,7,408,245,105,35,3675,0.00709,162.578,218.0,0.04598,Q2_TopRight,460.5,262.5
863,8,199,205,137,23,3151,0.00608,5.202,29.0,0.00126,Q1_TopLeft,267.5,216.5
863,9,435,196,63,14,882,0.0017,54.334,89.0,0.00369,Q2_TopRight,466.5,203.0
7,0,150,40,64,31,1984,0.00383,42.717,165.0,0.00992,Q1_TopLeft,182.0,55.5
7,1,30,39,124,54,6696,0.01292,114.966,233.0,0.09011,Q1_TopLeft,92.0,66.0
535,0,341,231,38,119,4522,0.00872,215.489,249.0,0.09543,Q2_TopRight,360.0,290.5
745,0,442,305,261,37,9657,0.01863,170.364,229.0,0.08462,Q2_TopRight,572.5,323.5
745,1,577,267,117,30,3510,0.00677,123.991,205.0,0.02238,Q2_TopRight,635.5,282.0
745,2,474,267,102,29,2958,0.00571,219.754,236.0,0.03343,Q2_TopRight,525.0,281.5
745,3,344,267,128,29,3712,0.00716,108.672,200.0,0.02075,Q2_TopRight,408.0,281.5
745,4,474,215,219,35,7665,0.01479,156.014,228.0,0.06151,Q2_TopRight,583.5,232.5
745,5,384,153,311,44,13684,0.0264,172.868,239.0,0.12167,Q2_TopRight,539.5,175.0
745,6,305,80,392,64,25088,0.0484,107.869,235.0,0.13919,Q2_TopRight,501.0,112.0
932,0,131,94,179,34,6086,0.01174,173.726,218.0,0.07587,Q1_TopLeft,220.5,111.0
932,1,40,90,85,33,2805,0.00541,87.572,145.0,0.01763,Q1_TopLeft,82.5,106.5
932,2,135,36,170,54,9180,0.01771,127.938,203.0,0.08428,Q1_TopLeft,220.0,63.0
306,0,0,165,9,17,153,0.0003,2.712,4.0,5e-05,Q1_TopLeft,4.5,173.5
306,1,26,99,107,304,32528,0.06275,142.559,243.0,0.53636,Q1_TopLeft,79.5,251.0
309,0,209,668,473,45,21285,0.04106,73.456,182.0,0.17366,Q4_BottomRight,445.5,690.5
309,1,32,644,102,36,3672,0.00708,39.842,119.0,0.01625,Q3_BottomLeft,83.0,662.0
309,2,428,635,286,25,7150,0.01379,53.397,174.0,0.0424,Q4_BottomRight,571.0,647.5
309,3,56,623,57,16,912,0.00176,5.018,16.0,0.00051,Q3_BottomLeft,84.5,631.0
309,4,588,160,80,33,2640,0.00509,98.294,152.0,0.02882,Q2_TopRight,628.0,176.5
309,5,431,157,37,19,703,0.00136,144.088,167.0,0.01125,Q2_TopRight,449.5,166.5
309,6,102,69,103,25,2575,0.00497,167.636,231.0,0.04794,Q1_TopLeft,153.5,81.5
309,7,86,41,139,20,2780,0.00536,135.924,228.0,0.04197,Q1_TopLeft,155.5,51.0
309,8,11,35,61,39,2379,0.00459,6.744,41.0,0.00178,Q1_TopLeft,41.5,54.5
